ref:US-TX:thc,ref:hmdb,name,OsmNodeID,website,memorial:website,isTHC,isHMDB,isMissing,isPending,isOSM,isPrivate,addr:full,addr:city,addr:county,UTM Zone,UTM Easting,UTM Northing,thc:Latitude,thc:Longitude,hmdb:Latitude,hmdb:Longitude,Recorded Texas Historic Landmark,thc:designation,Marker Notes,wikimedia_commons,subject:wikimedia_commons,subject:wikipedia,wikidata,subject:wikidata,Marker Text,inscription_size,DATA_NOTE,geometry
11435,54081,Cadwell Walton Raines,,https://atlas.thc.texas.gov/Details/5467011435,https://www.hmdb.org/m.asp?m=54081,True,True,False,False,True,False,121 E Dallas St,Canton,Van Zandt,15.0,231331.0,3605628.0,32.555544,-95.861288,32.55636,-95.86292,False,Historical Marker,"100 Blk Dallas (courthouse lawn) (SH 64),  Canton",,,,,,"(September 18, 1839 - August 2, 1906) Born in Georgia, Raines came to Texas in 1858. After serving in Gen. R. M. Gano's Texas Cavalry Regiment in the Civil War, he was a teacher in New Braunfels and a lawyer in Canton. Van Zandt County Judge from 1876 to 1878, he played a major role in the infamous County Seat War of 1877. He published newspapers at Wills Point, Mineola, and Quitman. In Quitman he became Wood County Judge and was appointed State Librarian in 1891 by his friend, Governor James Stephen Hogg. Raines rebuilt the neglected state library and began its invaluable collection of Texana from 1895 to 1899 and again from 1899 until his death. (1998)",662,,POINT (-95.861288 32.555544)
6637,,California Crossing,,https://atlas.thc.texas.gov/Details/5113006637,,True,False,False,False,False,False,,Dallas,Dallas,14.0,694331.0,3638373.0,32.866263,-96.923037,,,False,Historical Marker,"in California Crossing Parkon California Crossing Road 2.5 miles west of Stemmons, off SH 114, Dallas",,,,,,"CALIFORNIA CROSSING (Some Five Hundred Feet North) Here thousands of 49'ers crossed Trinity River in heroic trek west--following California Gold discovery. Crossing was in shallow part of stream on Southern Transcontinental route to Pacific. Later used by stage lines, railroad; route passed through Dallas and Cedar Springs on to El Paso.",339,,POINT (-96.923037 32.866263)
7708,236916,Camp Fannin,,https://atlas.thc.texas.gov/Details/5423007708,https://www.hmdb.org/m.asp?m=236916,True,True,False,False,True,False,,Tyler,Smith,15.0,293495.0,3590185.0,32.429659,-95.196346,32.42989,-95.19579,False,Historical Marker,"on US 271, 5 mi. NE of Loop 323 and US 271 intersection, reported missing 10.30.18",,,,,,"Numerous military bases were expanded or established throughout Texas during World War II. Originally planned as an Air Corps installation, construction of Camp Fannin began in late 1942. Named in honor of Texas revolutionary hero James Walker Fannin, Jr., the camp opened in the spring of 1943 and was formally dedicated in September. The main purpose of the camp was an Infantry Replacement Training Center (IRTC), and during its peak operation as many as 35,000 to 40,000 men were trained every four months to replace troops killed, wounded, or recalled from the war's battlefronts. In addition to the infantry training center, the camp also included a German prisoner of war facility from 1943 to 1946, and a Women's Army Corps (WAC) installation in 1944. Camp Fannin had a tremendous impact on the local economy, employing about 3,000 civilian workers and giving rise to numerous new businesses catering to the military trade. Many of the camp's facilities were later acquired by business interests and are still in use. Soldiers stationed here, as well as at least one former German prisoner, returned to East Texas to settle after the war.",1146,,POINT (-95.196346 32.429659)
7709,26916,Camp Ford,,https://atlas.thc.texas.gov/Details/5423007709,https://www.hmdb.org/m.asp?m=26916,True,True,False,False,True,False,6288 Highway 271,Tyler,Smith,15.0,286368.0,3587166.0,32.401102,-95.271415,32.39698,-95.26778,False,Historical Marker,2 mi. NE of Tyler on US 271,,,,,,"On this site during the Civil War was located Camp Ford, the largest prisoner of war compound for Union troops west of the Mississippi River. Named in honor of Col. John S. ""Rip"" Ford who originally established a training camp here in 1862. It was converted in the summer of 1863 to a prison camp. It first consisted of four to five acres enclosed by a stockade sixteen feet high. In the spring of 1864 following the Confederate victories at Mansfield, Louisiana and Mark's Mills, Arkansas, the enclosure was doubled to accommodate the large influx of prisoners. Approximately 4700 Federals were confined here during this period. This overcrowded condition was somewhat relieved through a series of prisoner of war exchanges between the North and the South. Union soldiers representing nearly one hundred different regiments plus sailors from gunboats and transports were confined here. In addition there were imprisoned Union sympathizers, spies and even Confederate deserters. The prisoners constructed their own shelters ranging from log huts and burrows called ""shebangs"" to brush arbors and tents made of blankets. A spring, located about 100 yards southwest of this marker, furnished an ample supply of good water. Their meager rations, essentially the same as that of their guards, usually consisted of beef and corn meal and were sometimes supplemented by vegetables purchased from nearby farms. Although escape attempts were frequent, very few were successful due to the long distance to Union lines and the difficulty in eluding the tracking hounds used by the Confederate guards. Even though conditions were primitive it compared favorably with the other Civil War prison camps. Camp Ford continued to serve as a prison until the surrender of the Trans-Mississippi Department in May, 1865. It was later destroyed by Federal occupation troops.",1853,,POINT (-95.271415 32.401102)
9938,290281,Campbell Honeymoon Home,,https://atlas.thc.texas.gov/Details/5183009938,https://www.hmdb.org/m.asp?m=290281,True,True,False,False,False,False,500 N. Second St.,Longview,Gregg,15.0,337100.0,3596925.0,32.497394,-94.733446,32.49738,-94.73355,True,Recorded Texas Historic Landmark,500 N. Second St. at Magrill St.,,,,,,"Thomas Mitchell Campbell (1856-1923), a native of Rusk, worked in the Gregg County clerk's office in Longview before becoming a lawyer in 1878, the same year he married Fannie Bruner. This small frame cottage served as their first home. Campbell was later a railroad executive before serving two terms as Governor of Texas, 1907-1911. The Campbell's former home was moved here from its original location (across Second Street) in 1982. Recorded Texas Historic Landmark - 1965",475,,POINT (-94.733446 32.497394)
13032,187057,Canton: The Misplaced County Seat,,https://atlas.thc.texas.gov/Details/5467013032,https://www.hmdb.org/m.asp?m=187057,True,True,False,False,True,False,,Canton,Van Zandt,15.0,231218.0,3605876.0,32.557751,-95.862561,32.55775,-95.86255,False,Historical Marker,Entrance to First Monday Trade Days grounds at Groves and Capitol,,,,,,"The Texas Legislature created Van Zandt County in 1848. It originally included nearly 2,000 square miles of territory. Jordan's Saline, now Grand Saline, was near the county's geographic location and became the first seat of government. Two years later, with the creation of Wood County from part of Van Zandt, officials had to select a new county seat based on the changed boundaries. In December 1850, the Commissioners Court purchased 320 acres of land from Obey W. Owens and sent a surveyor to determine the right site for the new town of Canton. Officials soon built a courthouse, jail and post office in the new town, but in less than three years the county discovered an error in the survey. The new county seat was actually two-and-a-half miles from the county's land. Canton, it turned out, was on property owned by John George Woldert. He donated 160 acres of land to the county in January 1853, however, to avert the legal crisis. Despite Woldert's generosity, which meant county officials did not have to move the county seat or pay him for the mistake, many Van Zandt County residents were unhappy with the situation and wanted Canton relocated to the site as originally planned. So great was the resentment that following construction of a brick courthouse in 1857, county voters elected officials who refused to pay for the building for many years. The debt was finally resolved in 1880. Today, Van Zandt's county seat remains on the wrong site. Since the surveying mistake more than 150 years ago, though, the city of Canton has grown into a regional commercial center, known most notably for its First Monday Trade Days. (2005)",1644,,POINT (-95.862561 32.557751)
9425,97323,Carnegie Library Building,,https://atlas.thc.texas.gov/Details/5257009425,https://www.hmdb.org/m.asp?m=97323,True,True,False,False,True,False,207 North Frances Street,Terrell,Kaufman,14.0,755072.0,3625514.0,32.737942,-96.277947,32.73827,-96.27826,True,Recorded Texas Historic Landmark,,,,,,,"Completed in 1904, this library building is located on land owned in the 1890s by local publisher O. B. Colquitt, who later became the governor of Texas. It was designed by the Waco firm of Messer and Smith and features classical detailing. Through the efforts of the women's clubs of Terrell, the Andrew Carnegie Foundation provided funds for the building, and the city of Terrell contributed money for the library operations. Recorded Texas Historic Landmark - 1983",467,,POINT (-96.277947 32.737942)
9426,97324,Carnegie Public Library,,https://atlas.thc.texas.gov/Details/5257009426,https://www.hmdb.org/m.asp?m=97324,True,True,False,False,True,False,207 North Frances Street,Terrell,Kaufman,14.0,755072.0,3625514.0,32.737942,-96.277947,32.73828,-96.27818,False,Historical Marker,,,,,,,"Opened 1904 through the efforts of local women's clubs. Building a gift of public benefactor Andrew Carnegie. Only library in Kaufman County; has been information center for students of five local colleges and a site of early civic functions. Has over 14,000 books.",265,,POINT (-96.277947 32.737942)
17371,145849,Carrollton Black Cemetery,,https://atlas.thc.texas.gov/Details/5507017371,https://www.hmdb.org/m.asp?m=145849,True,True,False,False,True,False,1525 West Belt Line Road,Carrollton,Dallas,14.0,694481.0,3647478.0,32.948314,-96.919516,32.95033,-96.92003,False,Historical Marker,"In a field just south of W Belt Line Road, between Luna Road and Hutton Drive",,,,,,"Carrollton's early African-Americans, many of whom were former slaves, helped settle and build the community. By 1871, this portion of forty acres belonging to Scott Boswell, Sr., an African-American farmer, was a community cemetery. In 1915, C.B. Baxley acquired the cemetery and surrounding land. Although the site holds dozens of burials, only three names (Ned Welch, Loving, and Davis) are now visible. Joyce Collins (1960) is believed to be the last burial. No records exist for others buried here; flooding from the Elm Fork of the Trinity River destroyed many grave markers. Once threatened by new development, the site is a precious record of the early history of Carrollton. Historic Texas Cemetery - 2010",714,,POINT (-96.919516 32.948314)
9424,97955,Cartwright House,,https://atlas.thc.texas.gov/Details/5257009424,https://www.hmdb.org/m.asp?m=97955,True,True,False,False,True,False,505 Griffith Avenue,Terrell,Kaufman,14.0,754371.0,3626664.0,32.748466,-96.285107,32.74577,-96.28376,True,Recorded Texas Historic Landmark,,,,,,,"Victorian residence, 1883. Built by third generation Texan, Matthew Cartwright (1855-1925), rancher, banker, civic leader; married Mary Cynthia Davenport. Had ten children. Entertained artists, statesmen in this house. One of first large homes in Terrell; enlarged 1893. Recorded Texas Historic Landmark, 1968",309,,POINT (-96.285107 32.748466)
6638,154359,Caruth House,,https://atlas.thc.texas.gov/Details/5113006638,https://www.hmdb.org/m.asp?m=154359,True,True,False,False,True,False,8000 Cornerstone Parkway,Dallas,Dallas,14.0,708317.0,3637998.0,32.860313,-96.773737,32.86091,-96.77441,True,Recorded Texas Historic Landmark,,,,,,,,0,,POINT (-96.773737 32.860313)
6639,148838,Caruth Pioneer Cemetery,,https://atlas.thc.texas.gov/Details/5113006639,https://www.hmdb.org/m.asp?m=148838,True,True,False,False,True,False,7405 W Northwest Highway,Dallas,Dallas,14.0,707417.0,3638562.0,32.865567,-96.783223,32.86614,-96.78354,False,Historical Marker,,,,,,,"Established early 1860s by William and Mattie Worthington Caruth, pioneer settlers.Across road was old Caruth Chapel where circuit-riding preachers officiated at baptisms, marriages and funerals for Caruth Plantation tenants and other local people. Gravesites donated by Caruth family. 1967",290,,POINT (-96.783223 32.865567)
