ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
119445,11303,"Old Coffeeville, <small>C. S. A.</small>",State Historical Survey Committee.,32.83865,-94.75572,,Coffeeville,Upshur County,
119455,11301,<small>C.S.A. </small> Camp Talley,State Historical Survey Committee.,32.83865,-94.75574,,Coffeeville,Upshur County,
119457,4120,Preston Rose Austin,Texas Historical Commission,28.45523,-96.88823,,Tivoli,Refugio County,
119459,7847,"Daingerfield, <small>C. S. A.</small>",State Historical Survey Committee.,33.03233,-94.72459,West Scurry Street,Daingerfield,Morris County,
119460,,J.S. Abercrombie Mineral Company,Matagorda County & J.G. “Pappy” Stone,28.96076,-96.06552,,Markham,Matagorda County,
119462,3405,Mission Mier a Visita,State of Texas,26.46044,-99.02967,,Roma,Starr County,
119463,5380,The Mier Expedition,State of Texas,26.42385,-99.02251,,Roma,Starr County,
119465,,Founding of Harris County,Harris County Historical Commission,29.76126,-95.35880,1201 Congress St,Houston,Harris County,
119467,10729,Merchants and Manufacturers Building,Texas Historical Commission,29.76566,-95.35924,1 Main Street,Houston,Harris County,
119469,3759,Old Lopeño,Texas Historical Commission,26.70865,-99.11066,,Lopeño,Zapata County,
119471,3790,Old Ramireño,Texas Historical Commission,27.00560,-99.38278,,San Ygnacio,Zapata County,
119474,,Historic Harlingen,,26.19080,-97.69715,,Harlingen,Cameron County,
119475,7848,Site of Hussey & Logan's Mill and Gin Factory,State Historical Survey Committee.,33.03488,-94.72198,Coffey Street,Daingerfield,Morris County,
119476,7849,Rev. Nathan S. Johnson,Texas Historical Commission,33.03559,-94.72276,Lamar Street,Daingerfield,Morris County,
119477,7859,Veteran of the American Revolution James Thompson,Texas Historical Commission,33.03592,-94.72600,500 Broadnax Street,Daingerfield,Morris County,
119479,4922,Site of the 1759 Taovayo Victory Over Spain,Texas Historical Commission,33.94545,-97.61652,,Nocona,Montague County,
119481,5000,Spanish Fort,State of Texas,33.94522,-97.61663,,Nocona,Montague County,
119483,9182,Elgin Methodist Church,Texas Historical Commission,30.34980,-97.37345,216 W 3rd St,Elgin,Bastrop County,
119484,,Isaac and Victoria Miers,,30.57208,-100.64445,300 East Oak Street,Sonora,Sutton County,
119485,,The Espy Family,,30.57210,-100.64446,300 East Oak Street,Sonora,Sutton County,
119486,,Robert Halbert & Battie Halbert,,30.57211,-100.64447,300 East Oak Street,Sonora,Sutton County,
119487,,George H. McDonald & Josie C. McDonald,,30.57211,-100.64447,300 East Oak Street,Sonora,Sutton County,
119497,4936,San Agustín de Laredo a Visita,State of Texas,26.37134,-98.85630,,Rio Grande City,Starr County,
119499,4270,"Rio Grande City, C.S.A",State of Texas,26.37948,-98.82046,,Rio Grande City,Starr County,
119500,3410,Mission Revilla a Visita,State of Texas,26.90167,-99.26678,600 Hidalgo Boulevard,Zapata,Zapata County,
119501,,Historic Rio Grande City,,26.37894,-98.82072,,Rio Grande City,Starr County,
119502,2620,Immaculate Conception School,Texas Historical Commission,26.38092,-98.82023,305 North Britton Avenue,Rio Grande City,Starr County,
119503,,Gregorio Barrera,,26.38092,-98.81998,,Rio Grande City,Starr County,
119511,12884,Joseph Sowell,Texas Historical Commission,33.73710,-96.18817,,Ravenna,Fannin County,
119512,8835,Arledge Ridge Cemetery,Texas Historical Commission,33.51806,-96.17058,,Bonham,Fannin County,
119522,14003,First Methodist Church of San Benito,Texas Historical Commission,26.13415,-97.62957,400 North Sam Houston Boulevard,San Benito,Cameron County,
119523,11789,Water District Building,Texas Historical Commission,26.13066,-97.63309,216 South Sam Houston Boulevard,San Benito,Cameron County,
119524,,Historic U.S. Post Office,City of San Benito,26.13438,-97.62976,401 North Sam Houston Boulevard,San Benito,Cameron County,
119526,8836,"Ashley Lodge No. 681, A. F. & A. M.",,33.43318,-96.16540,105 N Main St,Bailey,Fannin County,
119537,4528,San Benito Post Office,Texas Historical Commission,26.13446,-97.62967,401 N Sam Houston Blvd,San Benito,Cameron County,
119539,6415,The William Green Hill House,Texas Historical Commission,30.27540,-97.75545,910 Blanco Street,Austin,Travis County,
