ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
2184,12308,A. A. & Mary Spacek House,Texas Historical Commission,30.71600,-97.44515,204 S Rio Grande St,Granger,Williamson County,
2204,13802,A. S. Mason House,Texas Historical Commission,30.56686,-97.86629,,Leander,Williamson County,
2245,9029,Andice Baptist Church,Texas Historical Commission,30.78187,-97.85439,6570 Fm 970,Andice,Williamson County,
2287,12298,Barker House,Texas Historical Commission,30.51452,-97.69392,1113 Ledbetter Street,Round Rock,Williamson County,
2327,9316,Andrew J. Palm House,Texas Historical Commission,30.50902,-97.67728,208 E Main Ave,Round Rock,Williamson County,
2497,12426,Brick Streets in Granger,Texas Historical Commission,30.71790,-97.44533,,Granger,Williamson County,
2510,9038,Bryson Stagecoach Stop,Texas Historical Commission,30.67770,-97.94401,,Liberty Hill,Williamson County,
2544,9039,Burcham House,Texas Historical Commission,30.63220,-97.67182,1310 S College St,Georgetown,Williamson County,
2562,13876,C.A.D. Clamp,Texas Historical Commission,30.63732,-97.67701,705 South Main Street,Georgetown,Williamson County,
2644,9045,Cotton Cards Factory,State Historical Survey Committee,30.63602,-97.43476,,Circleville,Williamson County,
2740,12994,Champion Cemetery,Texas Historical Commission,30.51243,-97.75788,,Cedar Park,Williamson County,
2743,9358,City of Taylor,Texas Historical Commission,30.57097,-97.40948,,Taylor,Williamson County,
2754,12640,City of Weir,Texas Historical Commission,30.67478,-97.58638,,Weir,Williamson County,
2793,9363,Community of Theon,Texas Historical Commission,30.76248,-97.59709,,Theon,Williamson County,
2801,12702,Confederate Chaplains,State Historical Survey Committee,30.52456,-97.63360,,Round Rock,Williamson County,
2844,9044,Cornhill Cemetery,State Historical Survey Committee,30.80207,-97.60422,,Jarrell,Williamson County,
2905,13674,David Love Store,Texas Historical Commission,30.63713,-97.67816,706 S Austin Ave,Georgetown,Williamson County,
2948,9047,Doak Home,the Texas Historical Survey Committee,30.57297,-97.41668,600 W 7th St,Taylor,Williamson County,
3087,13616,Dr. James Lee Dickey,Texas Historical Commission,30.57216,-97.40530,500 Burkett St,Taylor,Williamson County,
3096,9084,Early Church,State Historical Survey Committee,30.83816,-97.78937,,Florence,Williamson County,
3140,9085,Early Commercial Building,the Texas Historical Survey Committee,30.50893,-97.67758,203 E Main Ave,Round Rock,Williamson County,
3197,9086,Eikel-Prewitt Building,Texas Historical Commission,30.57037,-97.40966,316 N Main St,Taylor,Williamson County,
3208,9028,Elisha Allen,Texas Historical Commission,30.77484,-97.44230,,Bartlett,Williamson County,
3265,13603,Farmers State Bank Building,Texas Historical Commission,30.63683,-97.67815,716 S Austin Ave,Georgetown,Williamson County,
3303,12417,First Baptist Church of Florence,Texas Historical Commission,30.84291,-97.79308,106 College Ave,Florence,Williamson County,
3379,9091,First Christian Church of Taylor,State Historical Survey Committee,30.57264,-97.41103,603 Talbot St,Taylor,Williamson County,
3526,9092,First Presbyterian Church of Taylor,Texas Historical Commission,30.57249,-97.41071,114 W 6th St,Taylor,Williamson County,
3562,9094,Fore Cemetery,Texas Historical Commission,30.71535,-97.82963,,Andice,Williamson County,
3944,13924,Founding of Georgetown,"Texas Historical Commission, Sponsored by Daniel Coleman Chapter, NSDAR",30.63576,-97.67598,,Georgetown,Williamson County,
3952,9328,G.W. Riley House,State Historical Survey Committee,30.63234,-97.67183,1302 South College Street,Georgetown,Williamson County,
4004,9111,George Irvine House,Texas Historical Commission,30.63327,-97.67388,409 E University Ave,Georgetown,Williamson County,
4035,13918,Georgetown Fire House and Old City Hall,Texas Historical Commission,30.63584,-97.67700,816 S Main St,Georgetown,Williamson County,
4059,9098,Georgetown High School Building,Texas Historical Commission,30.63381,-97.67242,507 E University Ave,Georgetown,Williamson County,
4114,9099,Granger Brethren Church,Texas Historical Commission,30.71911,-97.44681,326 W Broadway St,Granger,Williamson County,
4150,9100,Granger City Hall,Texas Historical Commission,30.71751,-97.44079,212 East Davilla Street,Granger,Williamson County,
4172,9101,Granger High School,Texas Historical Commission,30.72004,-97.43682,,Granger,Williamson County,
4220,9103,Harrell-Stone House,Texas Historical Commission,30.63142,-97.67405,1404 South Elm Street,Georgetown,Williamson County,
4255,9104,Heinatz Homestead,State Historical Survey Committee,30.57523,-97.87139,,Leander,Williamson County,
4257,9105,Hopewell Cemetery,Texas Historical Commission,30.64622,-98.01313,,Liberty Hill,Williamson County,
4281,9032,"Howard Bland, Sr.",Texas Historical Commission,30.56284,-97.37028,,Taylor,Williamson County,
4299,13477,Hutto Cemetery,Texas Historical Commission,30.52097,-97.54610,,Hutto,Williamson County,
4300,9108,Hutto Evangelical Lutheran Church,Texas Historical Commission,30.54646,-97.54481,402 Church St,Hutto,Williamson County,
4345,13871,Iota Chapter,Texas Historical Commission,30.63585,-97.66716,,Georgetown,Williamson County,
4346,9297,J. A. McDougle Home,Texas Historical Commission,30.63222,-97.67405,1312 S Elm St,Georgetown,Williamson County,
4375,9042,Jesse Cooper House,Texas Historical Commission,30.64246,-97.64687,,Georgetown,Williamson County,
4407,12301,Jonah Cemetery,Texas Historical Commission,30.63767,-97.51805,,Georgetown,Williamson County,
4408,13919,Judge Greenleaf Fisk,Texas Historical Commission,30.63723,-97.67801,710 S Main St,Georgetown,Williamson County,
4419,9002,Kendleton,State Historical Survey Committee,29.44753,-96.00039,,Kendleton,Fort Bend County,
4440,9142,Kimbro Family Cemetery,Texas Historical Commission,30.49516,-97.49356,,Taylor,Williamson County,
4441,12829,Klattenhoff House,Texas Historical Commission,30.50715,-97.57808,2450 Farm-to-Market 685,Hutto,Williamson County,
4456,9257,Lawler Community,the Texas Historical Survey Committee,30.86080,-97.74679,,Florence,Williamson County,
4499,,Buddy Holly,Citizens of Lubbock,33.58877,-101.85399,701 Avenue Q,Lubbock,Lubbock County,Confirmed Missing
4531,13916,Lesesne-Stone Building,Texas Historical Commission,30.63648,-97.67713,102 W 8th St,Georgetown,Williamson County,
4606,9344,"Luther Stearns, Sr.",Texas Historical Commission,30.57427,-97.39866,1101 E 4th St,Taylor,Williamson County,
4608,13873,M.B. Lockett Building,Texas Historical Commission,30.63745,-97.67787,117 W 7th St,Georgetown,Williamson County,
4654,10074,Luckenbach,Texas Historical Commission,30.17883,-98.75655,412 Luckenbach Town Loop,Luckenbach,Gillespie County,
4660,,Kennedy Assassination Route,,32.77895,-96.80817,,Dallas,Dallas County,
4661,6895,Formerly The Texas School Book Depository Building,Texas Historical Commission,32.77965,-96.80822,411 Elm Street,Dallas,Dallas County,
4672,,John F. Kennedy Memorial Plaza,The Sixth Floor Museum at Dealey Plaza,32.77894,-96.80662,,Dallas,Dallas County,Reported Missing
4675,,Dealey Plaza,City of Dallas Park Board,32.77896,-96.80811,,Dallas,Dallas County,
4677,,Dealey Plaza National Historic Landmark,,32.77908,-96.80875,,Dallas,Dallas County,
4682,9294,Macedonia Cemetery,Texas Historical Commission,30.69108,-97.48362,,Granger,Williamson County,
4690,12371,Mager Cemetery,Texas Historical Commission,30.48848,-97.31947,,Beyersville,Williamson County,
4691,9307,Mankins Crossing,Texas Historical Commission,30.64663,-97.58263,,Georgetown,Williamson County,
4710,9340,Marsh F. Smith House,Texas Historical Commission,30.63285,-97.67799,1242 South Austin Avenue,Georgetown,Williamson County,
4738,12303,Monodale Community,Texas Historical Commission,30.58958,-97.53420,,Hutto,Williamson County,
4759,4759,Guadalupe Peak,Texas Highway Department,31.85426,-104.84484,,Pine Springs,Culberson County,
4764,13898,Chief Justice John Edward Hickman,State Historical Survey Committee,30.63723,-97.67801,710 S Main St,Georgetown,Williamson County,
4778,9308,Nelson-Crier House,Texas Historical Commission,30.50955,-97.67537,405 E Main Ave,Round Rock,Williamson County,
4788,5407,The Rainmakers of 1891,Texas Sesquicentennial 1836 - 1986,31.78258,-106.47975,1600 Scenic Dr,El Paso,El Paso County,
4801,9314,North Fork of the San Gabriel River,Texas Historical Commission,30.67425,-97.72346,,Georgetown,Williamson County,
4831,9035,Old Broom Factory Building,State Historical Survey Committee,30.50877,-97.67870,100 East Main Avenue,Round Rock,Williamson County,
4832,13920,Old Dimmitt Building,State Historical Survey Committee,30.63641,-97.67700,803 South Main Street,Georgetown,Williamson County,
4909,9341,Original Site of Southwestern University,Texas Historical Commission,30.63329,-97.67287,507 E University Ave,Georgetown,Williamson County,
5093,7542,Paul's Union Church,Texas Historical Commission,29.36362,-94.95505,1709 Oak St,La Marque,Galveston County,
5777,3313,Medina County Courthouse,Texas Historical Commission,29.35045,-99.14133,1100 16th St.,Hondo,Medina County,
5778,,Stephen F. Austin Memorial Oak Tree,,29.35055,-99.14137,1100 16th St.,Hondo,Medina County,
5779,12144,Hondo,Texas Historical Commission,29.34948,-99.14163,,Hondo,Medina County,
5791,13174,Langtry,Texas Historical Commission,29.80865,-101.55962,,Langtry,Val Verde County,
5800,13173,William H. Dodd,Texas Historical Commission,29.80850,-101.55962,,Langtry,Val Verde County,
5801,12987,The Torres Family,Texas Historical Commission,29.80850,-101.55927,,Langtry,Val Verde County,
5802,13649,Fitzsimmons-Maher Prizefight,Texas Historical Commission,29.80720,-101.55535,,Langtry,Val Verde County,
5820,14089,Robert Thomas Hill,Texas Historical Commission,29.80415,-101.55672,,Langtry,Val Verde County,
5821,13175,Eagle’s Nest,Texas Historical Commission,29.80417,-101.55662,,Langtry,Val Verde County,
5822,3052,Law West of the Pecos,Texas Highway Department,29.80927,-101.56040,,Langtry,Val Verde County,
6702,,San Jacinto Monument,State of Texas,29.74990,-95.08080,,La Porte,Harris County,
6978,5441,The Town of Waelder,State Historical Survey Committee,29.69299,-97.29898,,Waelder,Gonzales County,
7284,1992,Fort Lancaster C.S.A.,The State of Texas,30.71040,-101.20132,,Ozona,Crockett County,
7286,,William Mozart McVey,,30.71042,-101.20113,,Ozona,Crockett County,
7413,1110,Crockett County,Texas Highway Department,30.71040,-101.20097,,Ozona,Crockett County,
8040,8482,"Woodland, Home of Sam Houston",State Historical Survey Committee,30.71513,-95.55289,1302 19th Street,Huntsville,Walker County,
8074,8467,Oakwood Cemetery,Texas Historical Commission,30.72650,-95.54731,,Huntsville,Walker County,
8079,12367,Joshua Houston,Texas Historical Commission,30.72681,-95.54622,,Huntsville,Walker County,
8081,,Law Office (Sam Houston),"The Grand Lodge of Texas, A.F. & A.M.",30.71488,-95.55254,,Huntsville,Walker County,
9228,,Founding of the Mission and Origin of Name,,29.42576,-98.48650,300 Alamo Plaza,San Antonio,Bexar County,
9453,9558,Ellerslie Plantation,Texas Historical Commission,28.98487,-95.50487,,Jones Creek,Brazoria County,
9552,,Vietnam Veterans Memorial,St. John's Masonic Lodge #5 A.F. & A.M.,29.14485,-95.64236,,West Columbia,Brazoria County,
12026,,T-28A Trojan,United States Air Force,31.43186,-100.41333,,Goodfellow Air Force Base,Tom Green County,
12029,,BT-13A Valiant,United States Air Force,31.43113,-100.41337,,Goodfellow Air Force Base,Tom Green County,
12033,,TB-25N Mitchell,United States Air Force,31.42473,-100.40918,,Goodfellow Air Force Base,Tom Green County,
12077,3844,Oldest Rock Building in City,State Historical Survey Committee,31.64868,-100.04996,307 Depot Street,Rowena,Runnels County,
12236,518,Bronte Depot,Texas Historical Commission,31.88719,-100.29512,,Bronte,Coke County,
12238,,Dr Pepper Texas,,32.08404,-98.34202,221 S. Patrick St.,Dublin,Erath County,
13782,12597,Bessie Coleman,Texas Historical Commission,33.11414,-94.16551,101 North East Street,Atlanta,Cass County,
13785,9320,Bill Pickett,Texas Historical Commission and the Woodson-Dickey History Club,30.57104,-97.40957,400 N Main St,Taylor,Williamson County,
14126,9002,Kendleton,the Association for Afro-American Life and History,29.44894,-96.00094,,Kendleton,Fort Bend County,
16269,4218,The Red River Plunge of Bonnie and Clyde,Texas Historical Commission,34.95942,-100.22235,,Wellington,Collingsworth County,
16542,4082,Port of Matamoros,Texas Historical Commission,26.07831,-97.20694,,Port Isabel,Cameron County,
17496,8802,John H. Reagan Monument,"John H. Reagan Chapter, United Daughters of the Confederacy",31.75781,-95.62531,,Palestine,Anderson County,
17912,190,Archer County Copper Mines,State Historical Survey Committee,33.64694,-98.70635,,Archer City,Archer County,
18739,,Bronte Veterans Memorial,,31.88737,-100.29523,,Bronte,Coke County,
18740,4300,Robert Lee Cemetery,State Historical Survey Committee,31.89774,-100.47516,,Robert Lee,Coke County,
18741,12505,Henry Davis Pearce,State Historical Survey Committee,31.89714,-100.47426,,Robert Lee,Coke County,
19358,6042,Near Routes of Alonso de Leon Expeditions,Texas Historical Commission,26.06193,-97.78407,,Santa Maria,Cameron County,
20332,748,The Casas Reales,State Historical Survey Committee,29.42437,-98.49313,,San Antonio,Bexar County,
20365,4556,San Saba Peak,Texas Historical Commission,31.37675,-98.52910,,Goldthwaite,Mills County,
20638,9437,Early Explorers in Llano County,State Historical Survey Committee,30.62833,-98.52789,,Llano,Llano County,
20640,9752,"Henry Thomas Lodge, A.F. & A.M.",State Historical Survey Committee,30.54289,-98.16764,,Smithwick,Burnet County,
20643,9452,Packsaddle Mountain,the State of Texas,30.61104,-98.51806,,Llano,Llano County,
20644,9711,Site of Fort Croghan,the State of Texas,30.75813,-98.23755,703 Buchanan Dr.,Burnet,Burnet County,
21252,9243,Ancient Mound,State Historical Survey Committee,31.60660,-94.65063,,Nacogdoches,Nacogdoches County,
21431,9400,"Texas Stagecoaches, C.S.A.",State Historical Survey Committee,31.60299,-94.65447,,Nacogdoches,Nacogdoches County,
21692,439,Blue Mountain,State Historical Survey Committee,31.89311,-102.85760,,Kermit,Winkler County,
22031,14506,Margaret Moffette Lea Houston,State Historical Survey Committee,30.71510,-95.55288,,Huntsville,Walker County,
22753,4354,James J. Ross,Texas Historical Commission,29.85370,-96.72876,,Ellinger,Fayette County,
23483,,John McQueen Taylor,Texas Historical Commission,30.62515,-97.67593,,Georgetown,Williamson County,
23982,4284,Hamblen Drive,State Historical Survey Committee,34.79840,-101.43612,3418 Highway 207,Claude,Armstrong County,
23990,4401,The S.P. Hamblen Family,State Historical Survey Committee,34.86024,-101.40133,,Claude,Armstrong County,
24381,4547,Site of the Mission San Lorenzo De La Santa Cruz,State of Texas,29.67694,-100.01505,,Camp Wood,Real County,
24382,4749,Site of Camp Wood,State of Texas,29.67672,-100.01498,,Camp Wood,Real County,
24384,293,Bandera Pass,State of Texas,29.85904,-99.10563,,Bandera,Bandera County,
24485,5638,Vance Cemetery,Texas Historical Commission,29.81426,-100.01374,,Barksdale,Real County,
24741,,John Wesley Hardin,"State National Bank of El Paso, TX",31.75825,-106.48717,274 East San Antonio Ave,El Paso,El Paso County,
24743,1427,El Paso del Rio del Norte,State of Texas,31.76217,-106.50926,1704 W Paisano Dr,El Paso,El Paso County,
24902,13769,Anti-Slaveholding Union Baptist Cemetery,Texas Historical Commission,30.52484,-97.65400,FM 1460,Round Rock,Williamson County,
24905,13803,Smart-McCormick Home,State Historical Survey Committee,30.80521,-97.92003,1251 CR 208,Andice,Williamson County,
24913,13897,W.C. Vaden House,Texas Historical Commission,30.63331,-97.67024,711 E University Ave,Georgetown,Williamson County,
24915,9049,The Double File Trail (Georgetown),Texas Historical Commission,30.64498,-97.59250,,Georgetown,Williamson County,
24917,9102,United States Senator Morgan C. Hamilton,Texas Historical Commission,30.45966,-97.39067,,Coupland,Williamson County,
24929,6605,John Neely Bryan / Margaret Beeman Bryan,Texas Historical Commission,32.77934,-96.80870,,Dallas,Dallas County,
24931,9321,Pickle-Mason House,Texas Historical Commission,30.58017,-97.86084,,Leander,Williamson County,
24934,9325,Pond Springs Community and School,Texas Historical Commission,30.44620,-97.76518,7825 Elkhorn Mountain Trl,Austin,Williamson County,
24935,9329,Rock House Community,Texas Historical Commission,30.70489,-97.87220,,Liberty Hill,Williamson County,
24936,9330,The Round Rock,Texas Historical Commission,30.51309,-97.68947,,Round Rock,Williamson County,
24939,9334,St. James Church,State Historical Survey Committee,30.57293,-97.41497,612 Davis St.,Taylor,Williamson County,
24947,9342,Southwestern University Main Building,Texas Historical Commission,30.63335,-97.66746,1000 E University Ave,Georgetown,Williamson County,
24949,9354,Taylor National Bank,Texas Historical Commission,30.56885,-97.40947,200 N Main St,Taylor,Williamson County,
24950,9359,Taylor Post Office,Texas Historical Commission,30.57052,-97.41098,202 W 4th St,Taylor,Williamson County,
24954,13879,Williamson County,Texas Historical Commission,30.63687,-97.67751,710 S Main St,Georgetown,Williamson County,
24955,12305,Railroad Produce Warehouse,Texas Historical Commission,30.63836,-97.68046,401 W 6th St,Georgetown,Williamson County,
24956,12306,"San Gabriel Lodge No. 89, A.F. & A.M.",Texas Historical Commission,30.64912,-97.66772,800 N College St,Georgetown,Williamson County,
24957,12310,Williams-Buck Cemetery,Texas Historical Commission,30.73062,-97.91031,,Liberty Hill,Williamson County,
24959,12971,Site of Bartlett Colored School,Texas Historical Commission,30.79083,-97.43898,,Bartlett,Williamson County,
24963,15009,XI Chapter Kappa Alpha Order,Texas Historical Commission,30.63573,-97.66781,,Georgetown,Williamson County,
25031,5568,Tunnel of the Fredericksburg & Northern Railway,Texas Historical Commission,30.10154,-98.82082,10619 Old San Antonio Rd,Bankersmith,Kendall County,
25033,13604,"Post Oak Island Lodge #181, A.F. & A.M.",Texas Historical Commission,30.44335,-97.24380,,Elgin,Williamson County,
25036,13874,H. C. Craig Bulding,Texas Historical Commission,30.63746,-97.67767,115 W 7th St,Georgetown,Williamson County,
25038,13880,Williamson County Courthouse,Texas Historical Commission,30.63687,-97.67755,710 South Main Street,Georgetown,Williamson County,
25056,13882,Shafer Saddlery,The State Historical Survey Committee,30.63701,-97.67687,711 Main St.,Georgetown,Williamson County,
25070,14355,First United Methodist Church of Florence,Texas Historical Commission,30.83998,-97.79118,300 S Love Ave,Florence,Williamson County,
25173,9326,Otto Reinke Building,Texas Historical Commission,30.50865,-97.67869,102 E Main Ave,Round Rock,Williamson County,
25174,9331,Round Rock Cemetery,Texas Historical Commission,30.51686,-97.69661,,Round Rock,Williamson County,
25175,9333,Saints Cyril and Methodius Catholic Church,Texas Historical Commission,30.71837,-97.44724,,Granger,Williamson County,
25177,9335,St. Peters United Church of Christ,Texas Historical Commission,30.45767,-97.39099,108 Wathen St,Coupland,Williamson County,
25178,9337,Shiloh Baptist Church,the State Historical Survey Committee,30.49167,-97.20335,,Taylor,Williamson County,
25179,9339,Slave Burial Ground in Old Round Rock Cemetery,Texas Historical Commission,30.51686,-97.69661,,Round Rock,Williamson County,
25180,9360,The Taylor Public Schools,Texas Historical Commission,30.57418,-97.41324,305 W 8th St,Taylor,Williamson County,
25210,9362,Texan Santa Fe Expedition,the State Historical Survey Committee,30.64498,-97.59250,,Georgetown,Williamson County,
25212,9364,Town of Thrall,Texas Historical Commission,30.58910,-97.29836,,Thrall,Williamson County,
25215,12307,San Gabriel Park,Texas Historical Commission,30.64948,-97.67200,,Georgetown,Williamson County,
25217,12700,Site of Gano Community,Texas Historical Commission,30.52292,-97.18784,,Thorndale,Williamson County,
25219,13290,Taylor Brethren Church,Texas Historical Commission,30.57323,-97.42866,710 Sloan St,Taylor,Williamson County,
25250,15115,Union Hall Independent Missionary Baptist Church of Christ,Texas Historical Commission,30.64536,-97.86398,301 County Road 259,Liberty Hill,Williamson County,
25255,13588,Zion Lutheran Church,Texas Historical Commission,30.74256,-97.59907,6001 FM-1105,Walburg,Williamson County,
25292,12355,Coronado in Blanco Canyon,Texas Historical Commission,33.89210,-101.36001,,Floydada,Floyd County,
25295,9089,First National Bank of Bartlett,Texas Historical Commission,30.79358,-97.42635,206 South Dalton Street,Bartlett,Williamson County,
25317,13762,Rocky Hollow Cemetery,Texas Historical Commission,30.73717,-97.79965,,Andice,Williamson County,Confirmed Missing
25319,13875,Williamson County Sun,Texas Historical Commission,30.63731,-97.67701,709 S Main St,Georgetown,Williamson County,
25322,13896,Southwestern University,Texas Historical Commission,30.63337,-97.66516,,Georgetown,Williamson County,
25397,9293,Site of Loafer's Glory Apostolic Church,Texas Historical Commission,30.74079,-97.89740,,Andice,Williamson County,
25399,9309,Site of Neusser (Naizerville),Texas Historical Commission,30.68480,-97.54513,7760 Farm To Market Road,Georgetown,Williamson County,
25417,9310,"Site of New Bern Church, School, and Cemetery",Texas Historical Commission,30.62976,-97.32785,,Taylor,Williamson County,
25418,9312,Norman's Crossing,Texas Historical Commission,30.49493,-97.49777,,Hutto,Williamson County,
25419,9317,Palm Valley Lutheran Church,Texas Historical Commission,30.52215,-97.64582,2500 E Palm Valley Blvd,Round Rock,Williamson County,
25421,9361,The Tenth Street United Methodist Church,Texas Historical Commission,30.57587,-97.41447,410 W 10th St,Taylor,Williamson County,
25423,12302,Site of Marshall-Carver High School,Texas Historical Commission,30.64177,-97.68179,,Georgetown,Williamson County,
25424,12304,Mount Arie (Mount Ararat) Missionary Baptist Church,Texas Historical Commission,30.79309,-97.43587,529 South Bowie Street,Bartlett,Williamson County,
25459,12867,Weir Community Cemetery,Texas Historical Commission,30.66258,-97.58246,,Weir,Williamson County,
25469,12918,Site of Moravia School,Texas Historical Commission,30.68670,-97.39864,,Granger,Williamson County,
25503,13923,St. John’s United Methodist Church,Texas Historical Commission,30.63325,-97.67478,301 E University Ave,Georgetown,Williamson County,
25504,9112,Jolly Cemetery,Texas Historical Commission,30.43239,-97.77588,8600 Spicewood Springs Rd,Jollyville,Williamson County,
25505,9258,Lawrence Chapel Cemetery,Texas Historical Commission,30.48731,-97.23746,,Thrall,Williamson County,Reported Missing
25506,9336,Saul Cemetery,Texas Historical Commission,30.50031,-97.51178,,Hutto,Williamson County,
25507,9366,Tucker-Smith House,Texas Historical Commission,30.57309,-97.41624,516 W 7th St,Taylor,Williamson County,
25510,9372,Young House,Texas Historical Commission,30.71705,-97.43813,532 E Davilla St,Granger,Williamson County,
25511,12309,Type Cemetery,Texas Historical Commission,30.43573,-97.33138,1300 CR-466,Elgin,Williamson County,
25547,13070,Preslar-Hewitt Building,Texas Historical Commission,30.57049,-97.40967,321 N Main St.,Taylor,Williamson County,
25548,14481,Williamson County Jail,the State Historical Survey Committee,30.64025,-97.67754,312 S Main St,Georgetown,Williamson County,
25554,15002,William Cornelius Dalrymple,Texas Historical Commission,30.62475,-97.67609,200 E 20th St.,Georgetown,Williamson County,
25555,15206,Wilson Springs Cemetery,Texas Historical Commission,30.59578,-97.46329,,Taylor,Williamson County,
25587,15479,O. Henry Hall,Texas Historical Commission,30.26855,-97.74397,601 Colorado Street,Austin,Travis County,
25590,15486,St. Martin’s Evangelical Lutheran Church,Texas Historical Commission,30.27559,-97.73931,,Austin,Travis County,
25595,15538,John Litton,State of Texas,30.26529,-97.72751,909 Navasota Street,Austin,Travis County,
25599,15644,Scottish Rite Temple,State Historical Survey Committee,30.28005,-97.74044,207 W 18th Street,Austin,Travis County,
25624,13458,Texas School for the Deaf,Texas Historical Commission,30.25445,-97.74795,1102 S Congress Avenue,Austin,Travis County,
25629,13542,Bohls House,Texas Historical Commission,30.44225,-97.60683,901 Old Austin Hutto Road,Pflugerville,Travis County,
25630,13620,Norwood Tower,Texas Historical Commission,30.26932,-97.74325,114 W 7th Street,Austin,Travis County,
25631,13778,Del Valle Army Air Base,Texas Historical Commission,30.21214,-97.66382,,Austin,Travis County,
25632,13859,Randerson-Lundell Building,Texas Historical Commission,30.26604,-97.73601,701 E 6th Street,Austin,Travis County,
25633,13928,Central Presbyterian Church,Texas Historical Commission,30.26950,-97.74027,200 E 8th Street,Austin,Travis County,
25634,13931,Driskill Hotel,Texas Historical Commission,30.26804,-97.74135,604 Brazos Street,Austin,Travis County,
25647,13935,First Classes of the University of Texas Law School,Texas Historical Commission,30.27249,-97.74153,,Austin,Travis County,
25648,14191,Original Site of First Baptist Church of Austin,Texas Historical Commission,30.27213,-97.74276,,Austin,Travis County,
25650,14277,Thomas Jones Hardeman,State of Texas,30.26524,-97.72723,909 Navasota St,Austin,Travis County,
25661,14309,Oakwood Cemetery,Texas Historical Commission,30.27628,-97.72822,1601 Navasota Street,Austin,Travis County,
25666,14473,Daniel Shipman,State of Texas,30.26524,-97.72733,909 Navasota Street,Austin,Travis County,
25669,14668,Denny-Holliday House,Texas Historical Commission,30.28225,-97.74596,1803 West Avenue,Austin,Travis County,
25671,14680,Swedish Consulate and Swante Palm Library,Texas Historical Commission,30.27058,-97.74206,816 Congress Avenue,Austin,Travis County,
25672,14700,Henry G. Madison Cabin,Texas Historical Commission,30.27220,-97.71400,2300 Rosewood Avenue,Austin,Travis County,
25674,14858,West-Bremond Cottage,Texas Historical Commission,30.27022,-97.74821,607 Nueces Street,Austin,Travis County,
25676,14871,Captain Andrew Briscoe,State of Texas,30.26522,-97.72738,,Austin,Travis County,
25677,14891,Philip Walker,State of Texas,30.26531,-97.72732,909 Navasota Street,Austin,Travis County,
25679,14898,Thompson Home,Texas Historical Commission,30.27023,-97.72593,1171 San Bernard Street,Austin,Travis County,
25681,14936,Sweetbrush,Texas Historical Commission,30.30300,-97.77793,2408 Sweetbrush Drive,Austin,Travis County,
25682,14948,Andrew Jackson Hamilton,Texas Historical Commission,30.27577,-97.72713,1601 Navasota Street,Austin,Travis County,
25684,15026,The Woman Suffrage Movement in Texas,Texas Historical Commission,30.27245,-97.74103,,Austin,Travis County,
25685,15031,Mount Olive Baptist Church,Texas Historical Commission,30.26641,-97.72120,1800 E 11th Street,Austin,Travis County,
25688,15050,Bailey Hardeman,State of Texas,30.26529,-97.72724,909 Navasota Street,Austin,Travis County,
25690,15075,John Edward Lewis,State of Texas,30.26524,-97.72718,909 Navasota Street,Austin,Travis County,
25691,15110,Las Ventanas,State Historical Survey Committee,30.27354,-97.75765,602 Harthan Street,Austin,Travis County,
25693,15113,Gen. George W. Terrell,State of Texas,30.27643,-97.72821,1601 Navasota Street,Austin,Travis County,
25695,15196,Philquist-Wood House,Texas Historical Commission,30.30270,-97.72956,4007 Avenue G,Austin,Travis County,
25696,15300,Capt. and Mrs. Chauncey Johnson,State of Texas,30.26521,-97.72730,909 Navasota Street,Austin,Travis County,
25697,15335,Andrew Jackson Zilker,Texas Historical Commission,30.26417,-97.77091,,Austin,Travis County,
25698,6421,Wahrenberger House,State Historical Survey Committee,30.27654,-97.74193,208 W 14th Street,Austin,Travis County,
25699,6427,Zachary Taylor Fulmore,State Historical Survey Committee,30.27402,-97.74440,1000 Guadalupe Street,Austin,Travis County,
25700,6438,Goodman Building,Texas Historical Commission,30.27567,-97.74219,1300 Colorado Street,Austin,Travis County,
25701,6442,Ashford McGill House,Texas Historical Commission,30.27243,-97.77497,301 Nature Center Dr,Austin,Travis County,
25702,6444,Green Pastures,Texas Historical Commission,30.24553,-97.76186,811 W Live Oak Street,Austin,Travis County,
25703,6448,The Johnson Home,State Historical Survey Committee,30.27672,-97.77145,2201 1/2 Veterans Drive,Austin,Travis County,
25705,6449,Austin High School,Texas Historical Commission,30.27327,-97.76651,1715 West Cesar Chavez Street,Austin,Travis County,
25706,6452,Fischer House,Texas Historical Commission,30.27485,-97.74902,1008 West Avenue,Austin,Travis County,
25707,6455,Goodall Wooten House,Texas Historical Commission,30.28284,-97.74516,1900 Rio Grande Street,Austin,Travis County,
25709,6459,Herblin – Shoe House,Texas Historical Commission,30.28010,-97.74667,712 W 16th Street,Austin,Travis County,
25710,6460,The Texas Federation of Women’s Clubs Headquarters,Texas Historical Commission,30.28778,-97.74807,2312 San Gabriel Street,Austin,Travis County,
25712,6469,Eanes School and Chapel,Texas Historical Commission,30.28211,-97.81189,,Westlake Hills,Travis County,
25714,12241,Decker Swedish Evangelical Free Church and Cemetery,Texas Historical Commission,30.33032,-97.60346,10309 Decker Ln,Austin,Travis County,
25715,12246,Texas Dental Association,Texas Historical Commission,30.23858,-97.73903,1946 S IH-35,Austin,Travis County,
