ref:US-TX:thc,ref:hmdb,isMissing,name,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county
38,149796,,33rd Anniversary National Convention,State Historical Survey Committee,35.31064,-101.46143,,Panhandle,Carson County
12214,79761,,45th Infantry Division at Camp Barkeley,Texas Historical Commission,32.44575,-99.73247,301 Oak St,Abilene,Taylor County
42,93762,,6666 Dixon Creek Ranch,State Historical Survey Committee,35.54142,-101.40276,,Panhandle,Carson County
8662,170201,,A & M College Consolidated Rural School,Texas Historical Commission,30.59143,-96.31936,2118 Welsh Avenue,College Station,Brazos County
10932,168079,,A Century of the Methodist Church,State Historical Survey Committee,30.87925,-96.59495,408 South Magnolia Street,Hearne,Robertson County
10866,234358,,A House of the William Becknell Family,Texas Historical Commission,33.61273,-95.11562,1239 Main Street,Clarksville,Red River County
44,187140,,A Jesse James Hideout,State Historical Survey Committee,33.59519,-98.62558,100 South Center Street,Archer City,Archer County
45,152004,,A Memorial to Civil War Education in Texas,State Historical Survey Committee,31.06576,-97.46378,304 Vann Cir,Belton,Bell County
3375,93487,,A Military Road (Fort Belknap - Fort Worth),State of Texas,33.15,-98.74003,,Newcastle,Young County
5514,43759,,A Town Hall,State of Texas,29.80716,-96.0987,,San Felipe,Austin County
,248376,,A Tribute to Senator Vernon Lemens,State of Texas,32.23465,-97.75533,100 NE Barnard St,Glen Rose,Somervell County
6897,152110,,A Tribute to Texas Women in the Civil War,State Historical Survey Committee,32.7793,-96.76237,3550 Grand Avenue,Dallas,Dallas County
12308,2184,,A. A. & Mary Spacek House,Texas Historical Commission,30.716,-97.44515,204 S Rio Grande St,Granger,Williamson County
6959,232105,,A. Frank Smith United Methodist Church,Texas Historical Commission,31.64954,-95.07291,131 Cooper Street,Alto,Cherokee County
6593,158273,,A. H. Belo Corporation,Texas Historical Commission,32.78074,-96.79438,"1954 Commerce St., Dallas, TX 75201",Dallas,Dallas County
6592,157388,,A. H. Belo House,Texas Historical Commission,32.78811,-96.79841,2101 Ross Avenue,Dallas,Dallas County
52,261290,,A. H. Fortenberry,Texas Historical Commission,33.39589,-97.38484,1137 Fortenberry Rd,Decatur,Wise County
12591,42434,,A. J. and Carolina Anderson House,Texas Historical Commission,30.51124,-97.67356,602 E Liberty St,Round Rock,Williamson County
11439,245164,,A. L. Spradlin Log Cabin,Texas Historical Commission,32.69911,-95.88614,100 N Main St,Edgewood,Van Zandt County
