OsmNodeID,thc:Latitude,thc:Longitude,abandoned:historic,abandoned:memorial,access,addr:city,addr:country,addr:county,addr:full,addr:state,alt_name,check_date,colour,contact:facebook,date,description,designation,direction,ele,flickr,gnis:feature_id,heritage,heritage:operator,historic,image,image:creator,inscription,inscription:url,mapillary,material,memorial,memorial:website,name,name:en,name:es,name:etymology:wikidata,name:pt,name:sr,name:ur,name:zh,note,official_name,openplaques:id,operator,operator:es,operator:wikidata,panoramax,ref:US-TX:thc,ref:hmdb,short_name,source:url,source:website,source_ref,start_date,subject:wikidata,subject:wikimedia_commons,subject:wikipedia,support,thc:designation,thc:inscription_date,website,wikidata,wikimedia_commons,wikipedia,year
5161751957,32.6625167,-95.489769,,,,,,,,,,,,,,,,13,,,,,,memorial,,,,,,aluminium,plaque,,C. W. Raines,,,,,,,,,,,Texas Historical Commission,,Q2397965,,12615,,,,https://atlas.thc.texas.gov/Details/5499012615,,2001,,,,,,,,,,,
5161751962,32.6623466,-95.4891494,,,,,,,,,,,,,,,,13,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=138978,Mineola,,,,,,,,,,,Texas Historical Commission,,Q2397965,,14536,138978,,,https://atlas.thc.texas.gov/Details/5507014536,,2008,,,,,,,,,,,
5161751971,32.6620476,-95.4888781,,,,,,,,,,,,,,,,241,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=138977,Railroads in Mineola,,,,,,,,,,,Texas Historical Commission,,Q2397965,,13936,138977,,,https://atlas.thc.texas.gov/Details/5507013936,,2007,,,,,,,,,,,
5161752001,32.6631924,-95.4894744,,,,,,,,,,,,,,,,105,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139003,Site of Coleman Family Drug Store and Clinic,,,,,,,,,,,Texas Historical Commission,,Q2397965,,13746,139003,,,https://atlas.thc.texas.gov/Details/5507013746,,2004,,,,,,,,,,,
5161752016,32.6647708,-95.4890268,,,,,,,,,,,,,,,,110,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139034,Site of Barney B. Hart House,,,,,,,,,,,Texas Historical Commission,,Q2397965,,18277,139034,,,https://atlas.thc.texas.gov/Details/5507018277,,2014,,,,,,,,,,,
5161752563,32.6642127,-95.4880093,,,,,,,,,,,,,,,,110,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139040,The Thomas Breen Family,,,,,,,,,,,Texas Historical Commission,,Q2397965,,13026,139040,,,https://atlas.thc.texas.gov/Details/5499013026,,2003,,,,,,,,,,,
5161752565,32.6648127,-95.4887087,,,,,,,,,,,,,,,,283,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139035,First Baptist Church of Mineola,,,,,,,,,,,Texas Historical Commission,,Q2397965,,12633,139035,,,https://atlas.thc.texas.gov/Details/5499012633,,2001,,,,,,,,,,,
5161752587,32.6636811,-95.4890638,,,,,,,,,,,,,,,,-120,,,,,,memorial,,,"Chartered in 1898, the First National Bank of Mineola was housed in several downtown locations before this building was constructed in 1912. Built on the site of the former Mineola Mercantile, which burned in 1903, the bank building exhibits a blend of st",,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139011,First National Bank Building,,,,,,,,,,,Texas Historical Commission,,Q2397965,,12771,139011,,,https://atlas.thc.texas.gov/Details/5499012771,,2001,,,,,,,,,,,
5161752588,32.663548,-95.4896427,,,,,,,,,,,,,,,,13,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139016,Mineola's Jewish Community,,,,,,,,,,,Texas Historical Commission,,Q2397965,,15997,139016,,,https://atlas.thc.texas.gov/Details/5507015997,,2009,,,,,,,,,,,
5161752589,32.6640051,-95.4905232,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139023,Gov. James Stephen Hogg and Wood County,,,,,,,,,,,Texas Historical Commission,,Q2397965,,13554,139023,,,https://atlas.thc.texas.gov/Details/5507013554,,2006,,,,,,,,,,,
5161752590,32.6639514,-95.4877488,,,,,,,,,,,,,,,,283,,,,,,memorial,,,,,,aluminium,plaque,,Mineola Post Office,,,,,,,,,,,Texas Historical Commission,,Q2397965,,11664,,,,https://atlas.thc.texas.gov/Details/5499011664,,1999,,,,,,,,,File:Mineola Post Office historical marker.jpg,,
5161752599,32.6647255,-95.4875567,,,,,,,,,,,,,,,,283,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139038,Sarah Rosalie Patten Buchanan,,,,,,,,,,,Texas Historical Commission,,Q2397965,,11662,139038,,,https://atlas.thc.texas.gov/Details/5499011662,,1999,,,,,,,,,,,
5161752600,32.6647063,-95.4875392,,,,,,,,,,,,,,,,283,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139039,First National Bank of Mineola,,,,,,,,,,,Texas Historical Commission,,Q2397965,,12626,139039,,,https://atlas.thc.texas.gov/Details/5499012626,,2001,,,,,,,,,,,
