ref:hmdb,ref:US-TX:thc,name,Subtitle,Add'l Subtitle,memorial:website,year,,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,Section or Quarter,addr:county,addr:state,Marker Notes,isMissing,,First Published,Last Update
152037,2753,Jim Hogg County,,,https://www.hmdb.org/m.asp?m=152037,1936,,Texas Highway Department,27.30853,-98.67812,210 N Smith Ave,Hebbronville,,Jim Hogg County,Texas,"It is at the intersection of North Smith Street (State Highway 16) and East Santa Clara Street, on the right when traveling north on North Smith Street. ",,,6/28/2020,12/1/2024
77769,2756,Jim Ned Creek,,,https://www.hmdb.org/m.asp?m=77769,1968,,State Historical Survey Committee,32.20213,-99.79849,,Tuscola,,Taylor County,Texas,"It is on U.S. 83 0.2 miles south of 1st Street, on the right when traveling north. ",,,10/7/2014,11/29/2020
193562,2757,Jim Wells County,,,https://www.hmdb.org/m.asp?m=193562,1936,,the State of Texas,27.74514,-98.08503,,Alice,,Jim Wells County,Texas,"It is at the intersection of Ida Street and Falfurrias Highway (Business U.S. 281), on the left when traveling west on Ida Street. ",,,3/14/2022,3/14/2022
193563,2758,Jim Wells County Courthouse,,,https://www.hmdb.org/m.asp?m=193563,1992,,Texas Historical Commission,27.75236,-98.07055,200 North Almond Street,Alice,,Jim Wells County,Texas,"It is on East 2nd Street, on the right when traveling west. ",,,3/14/2022,3/14/2022
155439,2760,Joe H. Newcomer,,,https://www.hmdb.org/m.asp?m=155439,1968,,State Historical Survey Committee,29.80806,-99.25288,,Medina,,Bandera County,Texas,It can be reached from Highway 16 0.1 miles north of Orchard Park Boulevard. ,,,8/30/2020,11/16/2024
150980,2764,Johann Michael Jahn,,,https://www.hmdb.org/m.asp?m=150980,1997,,Texas Historical Commission,29.69941,-98.11963,494 S Seguin Ave,New Braunfels,,Comal County,Texas,"It is on South Seguin Avenue north of Butcher Street, on the left when traveling north. ",,,6/6/2020,6/6/2020
150739,2765,John A. Holmes,(1886-1929),,https://www.hmdb.org/m.asp?m=150739,1967,,State Historical Survey Committee,35.35306,-101.37069,Providence Avenue,Panhandle,,Carson County,Texas,"It is on Providence Avenue, on the left when traveling north. ",,,5/31/2020,5/31/2020
121788,2767,John B. Denton,,,https://www.hmdb.org/m.asp?m=121788,1936,,State of Texas,33.21483,-97.13285,110 West Hickory Street,Denton,,Denton County,Texas,"It is at the intersection of West Hickory Street and North Locust Street (U.S. 77/377), on the left when traveling east on West Hickory Street. ",,,8/15/2018,8/16/2018
287762,2768,John Blackburn Log House,,,https://www.hmdb.org/m.asp?m=287762,1986,,Texas Historical Commission,31.10892,-97.71243,2201 E. US 190 Business,Killeen,,Bell County,Texas,"It is at the intersection of East Veterans Memorial Boulevard (Business U.S. 190) and S W S Young Drive, on the right when traveling west on East Veterans Memorial Boulevard. ",,,11/4/2025,11/4/2025
120279,2770,John C. Prude Home,,,https://www.hmdb.org/m.asp?m=120279,1979,,Texas Historical Commission,32.39074,-100.8636,334 East 4th Street,Colorado City,,Mitchell County,Texas,"It is on East 4th Street, on the left when traveling east. ",,,7/17/2018,12/20/2025
118234,2771,Colonels John C. and William F. Upton,Upton County,,https://www.hmdb.org/m.asp?m=118234,1963,,State of Texas,31.226,-101.93713,205 East 10th Avenue,Rankin,,Upton County,Texas,"It is at the intersection of East 10th Avenue and Rankin Street, on the left when traveling east on East 10th Avenue. ",,,6/11/2018,6/11/2018
238850,2775,John Duncan's Fort,(1/2 Mi. N.),,https://www.hmdb.org/m.asp?m=238850,1968,,State Historical Survey Committee,31.2698,-98.94519,101 W Coyote Trail,Richland Springs,,San Saba County,Texas,"It is at the intersection of West Coyote Trail (State Highway 190) and Carter Street (Farm to Market Road 45), on the left when traveling west on West Coyote Trail. ",,,1/5/2024,1/5/2024
104570,2777,John Ellison Burns,,,https://www.hmdb.org/m.asp?m=104570,1983,,Texas Historical Commission,34.12437,-101.43985,218 East Locust Street,Lockney,,Floyd County,Texas,"It is on East Locust Street, on the right when traveling east. ",,,6/21/2017,12/21/2019
197266,2778,John F. McGuffin,,,https://www.hmdb.org/m.asp?m=197266,1957,,State of Texas,29.56056,-97.96189,,Seguin,,Guadalupe County,Texas,It can be reached from East Klein Street 0.1 miles east of South River Street. ,,,5/6/2022,5/6/2022
210383,2779,Site of an Early Mill and Factory,,,https://www.hmdb.org/m.asp?m=210383,1936,,State of Texas,29.70701,-98.12306,499 East Mill Street,New Braunfels,,Comal County,Texas,"It is on East Mill Street 0.1 miles east of North Gilbert Avenue, in the median. ",,,11/15/2022,11/15/2022
150734,2780,The John F. Weatherlys,Texas Panhandle Pioneers,,https://www.hmdb.org/m.asp?m=150734,1965,,State Historical Survey Committee,35.34307,-101.38043,123 W 3rd Street,Panhandle,,Carson County,Texas,"It is on Euclid Avenue, on the right when traveling north. ",,,5/31/2020,5/31/2020
287401,2782,John Gerham Hardin,(1854-1937),,https://www.hmdb.org/m.asp?m=287401,1970,,State Historical Survey Committee,34.08798,-98.56994,,Burkburnett,,Wichita County,Texas,"It is at the intersection of E Williams Dr and South Avenue D, on the right when traveling west on E Williams Dr. ",,,10/31/2025,10/31/2025
175298,2784,"John H. ""Shorty"" Brown Cemetery",,,https://www.hmdb.org/m.asp?m=175298,1980,,Texas Historical Commission,31.19579,-98.7071,,San Saba,,San Saba County,Texas,"It is at the intersection of County Highway 102 and East Wallace Street (U.S. 190), on the right when traveling west on County Highway 102. ",,,6/16/2021,6/16/2021
118217,2785,John H. Reagan,This County Named in 1903 For,(First Chairman of Railroad Commission of Texas),https://www.hmdb.org/m.asp?m=118217,1966,,State Historical Survey Committee,31.19143,-101.4616,120 North Main Avenue,Big Lake,,Reagan County,Texas,"It is at the intersection of U.S. 67 and North Main Avenue, on the right when traveling east on U.S. 67. ",,,6/4/2018,11/28/2020
118028,2786,John H. Reagan,,,https://www.hmdb.org/m.asp?m=118028,1963,,State of Texas,31.19264,-101.4606,300 North Plaza Avenue,Big Lake,,Reagan County,Texas,"It is at the intersection of East 3rd Street and North Plaza Avenue, on the right when traveling west on East 3rd Street. ",,,6/7/2018,8/28/2020
55752,2788,John Hemphill,1803 - 1862,County named for Texas Confederate,https://www.hmdb.org/m.asp?m=55752,1963,,State of Texas,35.91302,-100.38274,,Canadian,,Hemphill County,Texas,"It is on East Main Street, on the right when traveling east. ",,,5/30/2012,4/8/2016
153580,2789,Site of Lyman's Wagon Train Battle,"(2.5 miles south, 1.7 miles east)",,https://www.hmdb.org/m.asp?m=153580,1967,,State Historical Survey Committee,35.75931,-100.38611,,Canadian,,Hemphill County,Texas,"It is on TX 33 10 miles east of U.S. 83, on the right when traveling north. ",,,7/27/2020,7/27/2020
160875,2789,John Ingram,,,https://www.hmdb.org/m.asp?m=160875,1936,,the State of Texas,31.44054,-100.44753,,San Angelo,,Tom Green County,Texas,It can be reached from West Avenue N. ,,,11/25/2020,11/25/2020
194854,2791,John C. Collier Home,,,https://www.hmdb.org/m.asp?m=194854,1985,,Texas Historical Commission,32.5649,-97.13841,401 Elm Street,Mansfield,,Tarrant County,Texas,"It is at the intersection of Elm Street and Sycamore Street, on the right when traveling west on Elm Street. ",,,4/4/2022,4/5/2022
111322,2792,John Leakey,,,https://www.hmdb.org/m.asp?m=111322,1983,,Texas Historical Commission,29.72638,-99.76252,146 US-83,Leakey,,Real County,Texas,"It is on Market Street (U.S. 83) south of Main Street, on the right when traveling north. ",,,12/13/2017,12/2/2024
179333,2793,John N. Sowell,,,https://www.hmdb.org/m.asp?m=179333,1957,,State of Texas,29.57367,-97.93528,1620 East Walnut Street,Seguin,,Guadalupe County,Texas,It can be reached from East Walnut Street (County Highway 202) ¼ mile east of North Highway 123 Byway. ,,,8/12/2021,8/12/2021
201863,2794,John Nance Garner,"(November 22, 1868 - November 7, 1967)",,https://www.hmdb.org/m.asp?m=201863,1968,,State Historical Survey Committee,29.19845,-99.81305,,Uvalde,,Uvalde County,Texas,"It can be reached from West Main Street (U.S. 90) 0.2 miles west of South Old Eagle Pass Road (Farm to Market Road 481), on the left when traveling west. ",,,7/14/2022,7/14/2022
161284,2795,John Nance Garner Home,,,https://www.hmdb.org/m.asp?m=161284,1965,,State Historical Survey Committee,29.21264,-99.79238,333 North Park Street,Uvalde,,Uvalde County,Texas,"It is at the intersection of North Park Street and West Mesquite Street, on the right when traveling south on North Park Street. ",,,12/1/2020,8/14/2023
186213,2797,John Patterson House,,,https://www.hmdb.org/m.asp?m=186213,1965,,State Historical Survey Committee,31.29992,-98.16854,,Adamsville,,Lampasas County,Texas,"It is on American Legion Federal Highway (State Highway 281) north of Farm to Market Road 581, on the left when traveling north. ",,,11/21/2021,11/17/2023
52506,2799,John Peter Smith,(1831-1901),,https://www.hmdb.org/m.asp?m=52506,1980,,Texas Historical Commission,32.74968,-97.33015,1123 Throckmorton St,Fort Worth,Sundance Square,Tarrant County,Texas,"It is at the intersection of Throckmorton Street and West 10th Street, on the left when traveling north on Throckmorton Street. ",,,2/12/2012,2/2/2023
264153,2800,John Peter Smith,Oakwood Cemetery Founder,,https://www.hmdb.org/m.asp?m=264153,1981,,Texas Historical Commission,32.77005,-97.34949,701 Grand Ave.,Fort Worth,North Side,Tarrant County,Texas,It is at the intersection of Grand Avenue and Gould Ave on Grand Avenue. ,,,1/4/2025,1/5/2025
116065,2801,"John R. (""Sarge"") Nasworthy","(September 12, 1849 - November 4, 1924)",,https://www.hmdb.org/m.asp?m=116065,1970,,State Historical Survey Committee,31.38787,-100.49195,,San Angelo,,Tom Green County,Texas,"It is at the intersection of Knickerbocker Road and Hillside Drive, on the right when traveling south on Knickerbocker Road. ",,,4/9/2018,12/3/2024
94579,2802,John R. Banister,"(May 24, 1854 - Aug. 2, 1918)",,https://www.hmdb.org/m.asp?m=94579,1984,,Texas Historical Commission,31.73508,-99.31203,,Santa Anna,,Coleman County,Texas,It can be reached from Fannin Street (Farm to Market Road 1176) 0.2 miles south of Bowie Avenue. ,,,5/11/2016,12/21/2019
106205,2803,John R. Ralls Building,,,https://www.hmdb.org/m.asp?m=106205,1967,,Texas Historical Commission,33.67898,-101.38438,,Ralls,,Crosby County,Texas,"It is at the intersection of Main Avenue and Watts Avenue, on the right when traveling south on Main Avenue. ",,,7/27/2017,7/27/2017
203596,2804,John Reagen Baker,"(August 6, 1809 - January 19, 1904)",,https://www.hmdb.org/m.asp?m=203596,1969,,State Historical Survey Committee,29.23055,-97.96952,111 Cemetery Street,Stockdale,,Wilson County,Texas,,,,8/12/2022,8/12/2022
202529,2805,John Reichle General Merchandise,(Welcome Store),,https://www.hmdb.org/m.asp?m=202529,1992,,Texas Historical Commission,30.02875,-96.48784,12528 FM 109,Welcome,,Austin County,Texas,"It is on Farm to Market Road 109 0.7 miles south of Farm to Market Road 2502, on the right when traveling north. ",,,7/19/2022,7/19/2022
246408,2807,John Robinson Ralls,"(Nov. 13, 1862 - Oct. 19, 1921)",,https://www.hmdb.org/m.asp?m=246408,1967,,State Historical Survey Committee and the Ralls Family,33.67321,-101.40157,1034 US-82,Ralls,,Crosby County,Texas,It is on U.S. 82 west of Avenue A. ,,,5/9/2024,5/9/2024
82187,2808,John S. Chisum,Confederate Beef Contractor,(1824-1884),https://www.hmdb.org/m.asp?m=82187,1965,,State Historical Survey Committee,31.55463,-99.9209,,Paint Rock,,Concho County,Texas,"It is on U.S. 83 0.3 miles south of Texas Highway 1929, on the left when traveling north. ",,,4/7/2015,5/28/2017
212114,2810,John Silas Edens,,,https://www.hmdb.org/m.asp?m=212114,1995,,Texas Historical Commission,31.70822,-97.13282,2747 Ross Road,Ross,,McLennan County,Texas,It can be reached from Ross Road 1 mile west of North Katy Road. ,,,12/8/2022,12/8/2022
201929,2814,John Tarleton,,,https://www.hmdb.org/m.asp?m=201929,1986,,Texas Historical Commission,32.2137,-98.2167,422 North Lillian Street,Stephenville,,Erath County,Texas,"It is at the intersection of North Lillian Street and West Wadhington Street (Business U.S. 377), on the left when traveling south on North Lillian Street. ",,,7/11/2022,7/11/2022
86497,2815,John Valentine Pliska,Site (1904-1962) of blacksmith shop of,"(Dec. 6, 1878 – July 28, 1956)",https://www.hmdb.org/m.asp?m=86497,1970,,State Historical Survey Committee,31.99841,-102.07329,,Midland,,Midland County,Texas,"It is at the intersection of North Baird Street and East Texas Avenue, on the right when traveling south on North Baird Street. ",,,7/31/2015,7/31/2015
132419,2822,John Wilkins Whitfield,"Brigadier General, C.S.A.",,https://www.hmdb.org/m.asp?m=132419,1963,,the State of Texas,29.442,-96.93754,316 South Dowling Street,Hallettsville,,Lavaca County,Texas,"It is on South Dowling Street north of Edna Street, on the right when traveling north. ",,,4/18/2019,4/18/2019
238961,2823,John Williams,"(February 6, 1804 - August 4,1871)",,https://www.hmdb.org/m.asp?m=238961,1976,,Texas Historical Commission,31.51051,-98.65452,,Mullin,,Mills County,Texas,It can be reached from County Road 508 3.1 miles south of South 6th Street. ,,,1/7/2024,1/7/2024
71932,2824,John Yellott Rust,"(June 4, 1867 - October 7, 1952)",,https://www.hmdb.org/m.asp?m=71932,1973,,State Historical Survey Committee,31.46116,-100.43697,14 West Twohig Street,San Angelo,,Tom Green County,Texas,"It is on Twohig Street west of Chadbourne Street, on the right when traveling west. ",,,2/22/2014,11/29/2020
147174,2827,Johns' Well and Campgrounds,,,https://www.hmdb.org/m.asp?m=147174,1982,,Texas Historical Commission,33.11817,-97.20974,,Argyle,,Denton County,Texas,"It is at the intersection of Old Justin Road and CF Taylor Road, on the right when traveling east on Old Justin Road. ",,,3/26/2020,12/17/2025
30926,2828,L. B. J. Boyhood Home,,,https://www.hmdb.org/m.asp?m=30926,1965,,Texas Historical Commission,30.27568,-98.41077,,Johnson City,,Blanco County,Texas,"It is at the intersection of Elm Street and Avenue G, on the right when traveling east on Elm Street. ",,,5/19/2010,3/15/2025
31126,2829,James Polk Johnson Building,,,https://www.hmdb.org/m.asp?m=31126,1992,,Texas Historical Commission,30.27759,-98.41187,100 E. Pecan Avenue,Johnson City,,Blanco County,Texas,"It is at the intersection of Nugent Avenue (State Highway 356) and Pecan Avenue, on the left when traveling south on Nugent Avenue. ",,,5/24/2010,9/27/2025
221227,2830,Johnson County,,,https://www.hmdb.org/m.asp?m=221227,1936,,State of Texas,32.34089,-97.3876,1010 Hillsboro Street,Cleburne,,Johnson County,Texas,It can be reached from the intersection of Hillsboro Street and West 2nd Street. ,,,4/26/2023,4/26/2023
73143,2831,Johnson County Courthouse,,,https://www.hmdb.org/m.asp?m=73143,2000,,Texas Historical Commission,32.34732,-97.38608,,Cleburne,,Johnson County,Texas,"It is on North Caddo Street (State Highway 174) north of East Chambers Street (Business U.S. 67), on the left when traveling north. ",,,4/23/2014,9/3/2025
180141,2832,Johnson County Pioneers and Old Settlers Reunion,,,https://www.hmdb.org/m.asp?m=180141,1992,,Texas Historical Commission,32.40794,-97.22314,,Alvarado,,Johnson County,Texas,"It is on Reunion Drive, on the left when traveling west. ",,,8/30/2021,8/30/2021
183764,2834,Johnson Station Cemetery,,,https://www.hmdb.org/m.asp?m=183764,1986,,Texas Historical Commission,32.69194,-97.12688,1129 W Mayfield Road,Arlington,East Arlington,Tarrant County,Texas,"It can be reached from West Mayfield Road west of Merrywood Drive, on the right when traveling west. ",,,10/14/2021,2/2/2023
126760,2835,James Polk Johnson,"(August 24, 1845 - October 20, 1885)",,https://www.hmdb.org/m.asp?m=126760,1989,,Texas Historical Commission,30.27784,-98.41599,,Johnson City,,Blanco County,Texas,"It is on West Pecan Drive east of Avenue L, on the right when traveling west. ",,,11/28/2018,11/28/2018
178962,2836,Jesse H. Johnson,"(September 6, 1843 - March 22, 1928)",,https://www.hmdb.org/m.asp?m=178962,1994,,Texas Historical Commission,29.69973,-96.54034,1700 Milam Street,Columbus,,Colorado County,Texas,"It is at the intersection of Milam Street (State Highway 52) and Wallace Street, on the right when traveling south on Milam Street. ",,,8/6/2021,8/6/2021
54826,2837,Colonel Middleton T. Johnson,,,https://www.hmdb.org/m.asp?m=54826,1964,,State of Texas,32.34749,-97.38609,2 North Main Street # 120,Cleburne,,Johnson County,Texas,It is at the intersection of Main Street (State Highway 171) and Chambers Street (Business U.S. 67) when traveling north on Main Street. ,,,4/29/2012,7/22/2021
54825,2837,General Patrick R. Cleburne,,,https://www.hmdb.org/m.asp?m=54825,1964,,State of Texas,32.34748,-97.38608,2 North Main Street # 120,Cleburne,,Johnson County,Texas,"It is at the intersection of Main Street (State Highway 171) and Chambers Street (Business U.S. 67), on the left when traveling north on Main Street. ",,,4/29/2012,11/15/2023
158354,2841,Jonathan Douglass,,,https://www.hmdb.org/m.asp?m=158354,1962,,The State of Texas,29.56001,-97.96181,,Seguin,,Guadalupe County,Texas,It can be reached from the intersection of East Klein Street and South River Street. ,,,10/21/2020,10/21/2020
181938,2842,Jonathan Hamilton Baker,"(July 13, 1832 - October 18, 1918)",,https://www.hmdb.org/m.asp?m=181938,1983,,Texas Historical Commission,32.76738,-98.29912,520 Oak Street,Palo Pinto,,Palo Pinto County,Texas,"It is at the intersection of Oak Street and South 5th Avenue, on the right when traveling west on Oak Street. ",,,9/16/2021,9/16/2021
201833,2843,Jones Cemetery,,,https://www.hmdb.org/m.asp?m=201833,1985,,Texas Historical Commission,29.62901,-99.54076,,Utopia,,Uvalde County,Texas,It can be reached from River View Road 1 mile west of Highway 187. ,,,7/12/2022,7/12/2022
78965,2844,Jones County,,,https://www.hmdb.org/m.asp?m=78965,1936,,State of Texas,32.75624,-99.89686,,Anson,,Jones County,Texas,It can be reached from the intersection of Court Plaza (U.S. 83/277) and 12th Street. ,,,11/17/2014,6/7/2016
93647,2846,Jones Mansion,,,https://www.hmdb.org/m.asp?m=93647,1983,,Texas Historical Commission,35.91188,-100.38152,,Canadian,,Hemphill County,Texas,"It is on South 6th Street south of Main Street, on the left when traveling south. ",,,4/5/2016,7/26/2020
207305,2849,W. Goodrich Jones,(1860-1950),,https://www.hmdb.org/m.asp?m=207305,1970,,State Historical Survey Committee,31.09195,-97.35563,1102 West Avenue H,Temple,,Bell County,Texas,"It is at the intersection of West Avenue H and South 23rd Street, on the right when traveling west on West Avenue H. ",,,10/6/2022,10/6/2022
119007,2850,Jonesboro Methodist Church,,,https://www.hmdb.org/m.asp?m=119007,1991,,Texas Historical Commission,31.6146,-97.87652,,Jonesboro,,Coryell County,Texas,"It is at the intersection of The 36th Division Memorial Highway (State Highway 36) and County Road 193, on the left when traveling north on The 36th Division Memorial Highway. ",,,6/20/2018,6/20/2018
225017,2851,Jopling-Melear Log Cabin,,,https://www.hmdb.org/m.asp?m=225017,1980,,Texas Historical Commission,32.73819,-97.10854,201 W. Front Street,Arlington,Central Arlington,Tarrant County,Texas,"It can be reached from the intersection of West Front Street and North Pecan Street, on the right when traveling west. ",,,6/3/2023,1/4/2024
111184,2852,Jose Antonio Navarro Ranch,,,https://www.hmdb.org/m.asp?m=111184,1986,,Texas Historical Commission,29.64045,-97.96707,,Seguin,,Guadalupe County,Texas,"It is on State Highway 123 3.1 miles north of Interstate 10, on the right when traveling north. ",,,12/10/2017,8/27/2020
240939,2853,José de Escandón,,,https://www.hmdb.org/m.asp?m=240939,1936,,State of Texas,26.38146,-98.81977,401 Britton Avenue,Rio Grande City,,Starr County,Texas,"It is at the intersection of 4th Street and Britton Avenue, on the right when traveling east on 4th Street. ",,,2/14/2024,2/14/2024
207920,2854,Joseph A. Hamilton House,,,https://www.hmdb.org/m.asp?m=207920,1984,,Texas Historical Commission,29.31477,-96.10237,325 N Richmond Rd,Wharton,,Wharton County,Texas,It is on North Richmond Road. ,,,10/20/2022,10/20/2022
171948,2857,Joseph Dienger Building,,,https://www.hmdb.org/m.asp?m=171948,1980,,Texas Historical Commission,29.79445,-98.73228,106 West Blanco Road,Boerne,,Kendall County,Texas,"It is at the intersection of West Blanco Road and North Main Street (Business U.S. 87), on the right when traveling west on West Blanco Road. ",,,4/26/2021,4/26/2021
161557,2858,Joseph E. Johnston Reunion Grounds,(4 mi. West),"(Camp No. 94, United Confederate Veterans)",https://www.hmdb.org/m.asp?m=161557,1965,,State Historical Survey Committee,31.63335,-96.55753,,Mexia,,Limestone County,Texas,"It is at the intersection of Farm to Market Road 2705 and County Highway 477, on the left when traveling north on Highway 2705. ",,,12/3/2020,12/3/2020
96814,2859,Joseph Hudson Barwise,"(November 13, 1829 - January 11, 1927)",,https://www.hmdb.org/m.asp?m=96814,1991,,Texas Historical Commission,33.91203,-98.49467,900 7th Street,Wichita Falls,,Wichita County,Texas,"It is at the intersection of 7th Street and Lamar Street, on the right when traveling west on 7th Street. ",,,8/13/2016,11/25/2020
132420,2860,Joseph Kent,,,https://www.hmdb.org/m.asp?m=132420,1963,,the State of Texas,29.4422,-96.93754,316 South Dowling Street,Hallettsville,,Lavaca County,Texas,"It is on South Dowling Street north of Edna Street, on the right when traveling north. ",,,4/18/2019,4/18/2019
126679,2861,Joseph L. Casbeer,(1839 - 1918),,https://www.hmdb.org/m.asp?m=126679,1970,,State Historical Survey Committee,30.69179,-101.20239,,Ozona,,Crockett County,Texas,"It can be reached from Avenue E (State Highway 163) near Quail Run, on the left when traveling south. ",,,11/26/2018,11/26/2018
233723,2863,Joseph Olson Family Log Cabin,,,https://www.hmdb.org/m.asp?m=233723,1986,,Texas Historical Commission,31.77623,-97.58533,301 South Avenue Q,Clifton,,Bosque County,Texas,"It is at the intersection of South Avenue Q and West 9th Street, on the left when traveling north on South Avenue Q. ",,,9/29/2023,9/29/2023
161537,2864,Joseph Penn Lynch,,,https://www.hmdb.org/m.asp?m=161537,1962,,State of Texas,31.59273,-96.53048,,Mexia,,Limestone County,Texas,It can be reached from Park Road 28 ½ mile west of State Highway 14. ,,,12/3/2020,12/3/2020
188118,2868,Joseph Weldon Bailey,"(October 6, 1863 - April 13, 1929)",,https://www.hmdb.org/m.asp?m=188118,1994,,Texas Historical Commission,33.62934,-97.12604,200 South Rusk,Gainesville,,Cooke County,Texas,It is on South Rusk. ,,,12/13/2021,12/13/2021
118270,2871,Juan Cordona Lake,(11 Miles Southwest),,https://www.hmdb.org/m.asp?m=118270,1965,,State Historical Survey Committee,31.39681,-102.35213,201 West 6th Street,Crane,,Crane County,Texas,"It is on West 6th Street (State Highway 329) east of South Sue Street, on the right when traveling east. ",,,6/7/2018,11/30/2024
224222,2872,Juan Davis Bradburn,,,https://www.hmdb.org/m.asp?m=224222,1996,,Texas Historical Commission,26.15749,-98.33066,500 East Chimney Road,Mission,,Hidalgo County,Texas,"It is at the intersection of East Chimney Road and Mayberry Road (County Highway 2842), on the right when traveling south on East Chimney Road. ",,,5/25/2023,5/25/2023
288718,2873,Juan de Padilla,,,https://www.hmdb.org/m.asp?m=288718,1936,,The State of Texas,35.20263,-101.84904,1200 S Washington St,Amarillo,,Potter County,Texas,"It is on South Washington Street south of West 11th Avenue, on the right when traveling south. ",,,11/20/2025,11/20/2025
128124,2875,Juan Nepomuceno Seguin,(1806-1890),,https://www.hmdb.org/m.asp?m=128124,1970,,State Historical Survey Committee,29.56984,-97.96363,205 North River Street,Seguin,,Guadalupe County,Texas,"It is at the intersection of North River Street and East Gonzales Street, on the right when traveling north on North River Street. ",,,1/4/2019,11/22/2020
118276,2877,Juan de Onate Expedition - 1598,,,https://www.hmdb.org/m.asp?m=118276,1981,,Texas Historical Commission,31.58529,-106.27302,1521 San Elizario Road,San Elizario,,El Paso County,Texas,It can be reached from the intersection of San Elizario Road and Church Street. ,,,6/11/2018,6/11/2018
174512,2878,Jubilee Park Pavilion,,,https://www.hmdb.org/m.asp?m=174512,1969,,State Historical Survey Committee,28.92365,-97.6137,,Nordheim,,DeWitt County,Texas,"It is at the intersection of West 4th Street and Broadway, on the right when traveling west on West 4th Street. ",,,6/2/2021,6/2/2021
207921,2879,Judge Edwin Hawes House,,,https://www.hmdb.org/m.asp?m=207921,1982,,Texas Historical Commission,29.31257,-96.09724,309 N Resident St,Wharton,,Wharton County,Texas,It is on North Resident Street. ,,,10/20/2022,10/20/2022
120600,2880,Judge George E. Quinan,(1819-1893),,https://www.hmdb.org/m.asp?m=120600,1988,,Texas Historical Commission,29.31109,-96.10064,118 West Milam Street,Wharton,,Wharton County,Texas,"It is on West Milam Street (State Highway 60), on the right when traveling west. ",,,7/23/2018,12/23/2019
207922,2881,Judge Henry Clay Pleasants,"(MARCH 23, 1828 - NOV. 17, 1899)",,https://www.hmdb.org/m.asp?m=207922,1968,,State Historical Survey Committee,29.09464,-97.27848,719 Cemetery Rd,Cuero,,DeWitt County,Texas,It is on Cemetery Road. ,,,10/20/2022,10/20/2022
190816,2883,Judge Pryor Lea Home,,,https://www.hmdb.org/m.asp?m=190816,1962,,State Historical Survey Committee,28.66691,-97.3942,,Goliad,,Goliad County,Texas,"It is at the intersection of West Franklin Street and South Chilton Street, on the right when traveling east on West Franklin Street. ",,,2/2/2022,2/2/2022
162655,2884,Judge Thomas J. Devine,,,https://www.hmdb.org/m.asp?m=162655,1964,,State Historical Survey Committee,29.14028,-98.90543,102 North Teel Drive,Devine,,Medina County,Texas,"It is at the intersection of North Teel Drive (Farm to Market Road 132) and East Hondo Avenue (Farm to Market Road 173), on the right when traveling north on North Teel Drive. ",,,12/16/2020,12/16/2020
168636,2886,Julian M. Bassett,"Dec. 4, 1873 - Dec. 29, 1947",,https://www.hmdb.org/m.asp?m=168636,1980,,Texas Historical Commission,33.65773,-101.21088,,Crosbyton,,Crosby County,Texas,"It is on Highway 82 west of Highway 213, on the right when traveling west. ",,,3/17/2021,3/17/2021
237669,2888,Julius A. and Anna Phillip House,,,https://www.hmdb.org/m.asp?m=237669,1993,,Texas Historical Commission,29.79823,-98.72549,116 N Plant Ave,Boerne,,Kendall County,Texas,"It is on North Plant Avenue 0.1 miles north of East Blanco Road, on the left when traveling north. ",,,12/11/2023,12/11/2023
183877,2891,The Rev. Jindrich Juren,,,https://www.hmdb.org/m.asp?m=183877,1995,,Texas Historical Commission,29.8833,-96.6713,1022 Kramr Road,Fayetteville,,Fayette County,Texas,"It is on Kramr Road near Ross Prairie Church Road, on the left when traveling west. ",,,10/15/2021,10/15/2021
160051,2892,Kimble County Jail,,,https://www.hmdb.org/m.asp?m=160051,1964,,Texas Historical Commission,30.49004,-99.76505,,Junction,,Kimble County,Texas,"It is at the intersection of North 5th Street and Pecan Street, on the left when traveling south on North 5th Street. ",,,11/15/2020,11/15/2020
160066,2893,Kimble County's First Sawmill,(489 Feet East),,https://www.hmdb.org/m.asp?m=160066,1966,,State Historical Survey Committee,30.48925,-99.76168,,Junction,,Kimble County,Texas,"It is at the intersection of East Main Street and North 2nd Street, on the right when traveling east on East Main Street. ",,,11/15/2020,11/15/2020
239569,2894,Kimble County,,,https://www.hmdb.org/m.asp?m=239569,1936,,the State of Texas,30.48911,-99.76555,501 Main Street,Junction,,Kimble County,Texas,"It is on Main Street (Loop State Highway 481) near North 5th Street, on the right when traveling east. ",,,1/17/2024,1/17/2024
207924,2899,Karankawa Indians,,,https://www.hmdb.org/m.asp?m=207924,1976,,Texas Historical Commission,27.70867,-97.33799,800 Nile Dr,Corpus Christi,,Nueces County,Texas,It is on Nile Drive. ,,,10/20/2022,10/20/2022
131922,2900,Karnes City,,,https://www.hmdb.org/m.asp?m=131922,1967,,State Historical Survey Committee,28.88466,-97.89811,314 East Calvert,Karnes City,,Karnes County,Texas,"It is at the intersection of East Calvert (Business U.S. 181) and South Esplanade Street, on the right when traveling east on East Calvert. ",,,4/9/2019,11/25/2020
121652,2902,Karnes County Courthouse,,,https://www.hmdb.org/m.asp?m=121652,2010,,Texas Historical Commission,28.8853,-97.90135,105 N Panna Maria Ave,Karnes City,,Karnes County,Texas,"It is at the intersection of North Panna Maria Avenue (Business State Highway 123) and West Calvert Avenue (Business U.S. 181), on the right when traveling south on North Panna Maria Avenue. ",,,8/14/2018,8/14/2018
