OsmNodeID,ref:US-TX:thc,ref:hmdb,name,operator,osm:Latitude,osm:Longitude,addr:full,addr:city,addr:county
12453545523,102,94069,H. C. Jacobs House,Texas Historical Commission,32.72562,-99.29903,,,
6277661058,104,167486,Albuquerque,Texas Historical Commission,29.3195441,-97.843878,,,
12403588021,105,37981,Alderete-Candelaria House,Texas Historical Commission,31.6903,-106.32635,,,
12403604258,107,51271,"Carmelo ""Charles"" Bertolino",Texas Historical Commission,29.3005,-94.7758,,,
12395077312,112,235185,Alexander and Alma Oppenheimer Halff House,Texas Historical Commission,29.44198,-98.49565,,,
12452330553,112,86496,Brown-Dorsey House,Texas Historical Commission,31.99916,-102.07213,,,
12395126150,113,29344,Alexander's Distillery,Texas Historical Commission,30.94508,-97.53271,,,
12423642076,116,148160,Alfred Madison Hightower,Texas Historical Commission,32.86829,-97.21108,,,
12438052333,116,200406,First Christian Church,Texas Historical Commission,33.41825,-99.81576,,,
6206876847,117,193564,Alice,Texas Historical Commission,27.7522287,-98.0723384,,,
12438066339,117,179249,Wied Hall,Texas Historical Commission,29.42739,-97.05253,,,
12438052596,119,206624,City of Cleveland,Texas Historical Commission,30.34236,-95.08896,,,
12402961280,120,194794,Alla School,Texas Historical Commission,33.36814,-96.764,,,
12454150102,120,200134,Republic of Texas' Santa Fe Expedition in Wise County,Texas Historical Commission,33.22284,-97.74455,,,
12438024571,121,119793,Jernigin's Store,Texas Historical Commission,33.25049,-95.89809,,,
12402957060,123,43407,Allen Cemetery,Texas Historical Commission,33.10047,-96.66558,,,
12423678148,124,217730,Allen Chapel A.M.E. Church,Texas Historical Commission,32.75912,-97.32747,,,
12423678147,125,217732,Allen Chapel African Methodist Episcopal Church,Texas Historical Commission,32.759,-97.32743,,,
12403609277,126,208764,Allen House,Texas Historical Commission,31.30889,-96.8981,,,
12402961289,127,220378,Allen Station of the Texas Electric Railway,Texas Historical Commission,33.10259,-96.67093,,,
12402964113,129,143994,Alleyton,Texas Historical Commission,29.70666,-96.48653,,,
12402938793,130,36906,"Alleyton, C.S.A.",Texas Historical Commission,29.70989,-96.48119,,,
6296521716,131,79054,Alsatians of Texas,Texas Historical Commission,29.3562631,-98.8790391,,,
5222141465,132,,Alta Vista Apartments,Texas Historical Commission,26.0778469,-97.2141291,,,
6204556780,133,,Site of Alta Vista Hotel,Texas Historical Commission,27.760308,-97.3793561,,,
6550487971,134,,Altgelt-Isbell House,Texas Historical Commission,29.4156266,-98.4920075,,,
12438052649,134,194365,Menefee Reunion,Texas Historical Commission,32.23504,-97.37946,,,
12403616593,139,143659,The Bishop's Palace,Texas Historical Commission,29.3029,-94.7821,,,
12452333862,144,136242,"Bank of Menard, 1903",Texas Historical Commission,30.91718,-99.78525,,,
12403603365,147,187445,Amasa Turner,Texas Historical Commission,29.50861,-97.45826,,,
6345930730,148,118224,America's Second Transcontinental Railroad,Texas Historical Commission,31.1746421,-105.3573987,,,
12402964104,149,130386,Fiftieth Anniversary Celebration of the American Declaration of Independence,Texas Historical Commission,29.70528,-96.54189,,,
12453470221,149,208882,The Respess Family and Respess Creek,Texas Historical Commission,32.18291,-94.27159,,,
12414158090,150,180544,American Legion Hall,Texas Historical Commission,26.16674,-98.05476,,,
6250374022,152,,Amon B. King,Texas Historical Commission,28.2964781,-97.2748867,,,
12423678164,153,189273,Amon Carter Riverside High School and Riverside ISD,Texas Historical Commission,32.78099,-97.29942,,,
12423678202,154,52831,Amon G. Carter,Texas Historical Commission,32.75156,-97.33247,,,
6183018269,155,56582,Amphion and Amphion Cemetery,Texas Historical Commission,28.9996187,-98.6318604,,,
12454148883,155,3087,Dr. James Lee Dickey,Texas Historical Commission,30.57216,-97.4053,,,
12454139462,156,191933,First Baptist Church of Wharton,Texas Historical Commission,29.31522,-96.09842,,,
12394945878,157,26361,Ancient Rocks Boundary,Texas Historical Commission,30.37514,-103.53365,,,
12395126162,159,29252,Old Anderson Place,Texas Historical Commission,30.94621,-97.53702,,,
6259154841,160,,Andrew A. Rasmussen,Texas Historical Commission,28.4419923,-96.4186378,,,
12403617456,162,179335,Andrew Jackson Sowell,Texas Historical Commission,29.5736,-97.93527,,,
12453821215,162,75606,Site of Samuel Huston College,Texas Historical Commission,30.2717,-97.73185,,,
12454148875,163,3265,Farmers State Bank Building,Texas Historical Commission,30.63683,-97.67815,,,
12403603375,164,239508,Andrew Ponton,Texas Historical Commission,29.50828,-97.45885,,,
12403603373,165,207554,Andrew Zumwalt,Texas Historical Commission,29.56136,-97.38095,,,
12454132183,165,24931,Pickle-Mason House,Texas Historical Commission,30.58017,-97.86084,,,
9461090325,166,61374,Original Townsite of Andrews,Texas Historical Commission,32.3172051,-102.554563,,,
12452349063,166,203723,Waco University,Texas Historical Commission,31.55271,-97.12727,,,
9461090323,168,61380,Andrews County Discovery Well,Texas Historical Commission,32.3337136,-102.6579598,,,
12452349007,168,151061,St. Mary's School,Texas Historical Commission,31.80118,-97.09825,,,
6346397867,171,138957,Annie Riggs Hotel,Texas Historical Commission,30.883362,-102.8787468,,,
12438069325,172,128338,Dayton's Old School,Texas Historical Commission,30.04334,-94.88835,,,
12405584070,176,153576,Anvil Park Ranch,Texas Historical Commission,35.92235,-100.31412,,,
12454153030,176,200389,Brazos River Indian Reservation,Texas Historical Commission,33.09936,-98.58945,,,
6215298442,178,132011,Aranama College,Texas Historical Commission,28.6565535,-97.3869684,,,
6250881017,179,53582,Aransas County,Texas Historical Commission,28.0259733,-97.0526996,,,
6250881021,180,,Aransas County,Texas Historical Commission,28.0299422,-97.046969,,,
12438098827,180,162427,First Presbyterian Church of Kerrville,Texas Historical Commission,30.04744,-99.13798,,,
12403616521,181,83345,Bolivar Point,Texas Historical Commission,29.36805,-94.75831,,,
12403616657,182,239912,"Gail Borden, Jr.",Texas Historical Commission,29.28876,-94.8025,,,
6253843993,183,53583,Site of Aransas Hotel,Texas Historical Commission,28.0217805,-97.0509669,,,
6206876829,184,,Aransas Pass Light Station,Texas Historical Commission,27.8641087,-97.0564164,,,
